uid,title,types,sourceTypes,sourceTitle,publishYear,publishMonth,volume,issue,pagesrange,pagesbegin,pagesend,pagescount,articleNumber,authors,record,citingArticles,references,related,db,count,doi,issn,eissn,pmid,authorKeywords,authorsList
WOS:001326674400002,PSInet: a new global water potential network,Article,Article,Tree Physiology,2024,Oct 3,44,10,NA,NA,NA,10,tpae110,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001326674400002&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001326674400002&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001326674400002&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001326674400002&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,13,10.1093/treephys/tpae110,0829-318X,1758-4469,39190893,,"Restrepo-Acevedo, AM; Guo, JS; Kannenberg, SA; Benson, MC; Beverly, D; Diaz, R; Anderegg, WRL; Johnson, DM; Koch, G; Konings, AG; Lowman, LEL; Martinez-Vilalta, J; Poyatos, R; Schenk, HJ; Matheny, AM; McCulloh, KA; Nippert, JB; Oliveira, RS; Novick, K"
WOS:001352088800001,Intensive leaf cooling promotes tree survival during a record heatwave,Article,Article,Proceedings Of The National Academy Of Sciences Of The United States Of America,2024,Oct 22,121,43,NA,NA,NA,9,e2408583121,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001352088800001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001352088800001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001352088800001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001352088800001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,28,10.1073/pnas.2408583121,0027-8424,1091-6490,39401366,,"Posch, BC; Bush, SE; Koepke, DF; Schuessler, A; Anderegg, LLD; Aparecido, LMT; Blonder, BW; Guo, JS; Kerr, KL; Moran, ME; Cooper, HF; Doughty, CE; Gehring, CA; Whitham, TG; Allan, GJ; Hultine, KR"
WOS:001368075400001,Enhanced Satellite Monitoring of Dryland Vegetation Water Potential Through Multi-Source Sensor Fusion,Article,Article,Geophysical Research Letters,2024,Nov 4,51,21,NA,NA,NA,12,e2024GL110385,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001368075400001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001368075400001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001368075400001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001368075400001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,6,10.1029/2024GL110385,0094-8276,1944-8007,NA,,"Du, J; Kimball, JS; Guo, JS; Kannenberg, SA; Smith, WK; Feldman, A; Endsley, A"
WOS:001384208100001,Post-GWAS Prioritization of Genome-Phenome Association in Sorghum,Article,Article,Agronomy-Basel,2024,Dec,14,12,NA,NA,NA,28,2894,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001384208100001&DestLinkType=FullRecord&DestApp=WOS_CPL,NA,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001384208100001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001384208100001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,0,10.3390/agronomy14122894,NA,2073-4395,NA,,"Pal, D; Schaper, K; Thompson, A; Guo, J; Jaiswal, P; Lisle, C; Cooper, L; Lebauer, D; Thessen, AE; Ross, A"
WOS:001522707400001,Precipitation Pulse Dynamics Are Not Ubiquitous: A Global Meta-Analysis of Plant and Ecosystem Carbon- and Water-Related Pulse Responses,Article,Article,Global Change Biology,2025,Jul 5,31,7,NA,NA,NA,15,e70327,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001522707400001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001522707400001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001522707400001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001522707400001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,3,10.1111/gcb.70327,1354-1013,1365-2486,40616306,,"Reich, E; Guo, J; Peltier, D; Palmquist, E; Samuels-Crow, K; Boone, R; Ogle, K"
WOS:001540194200001,Temporal repackaging of rainfall magnifies negative impacts of vapor pressure deficit on semiarid ecosystem productivity,Article,Article,New Phytologist,2025,Oct,248,2,615-627,615,627,13,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001540194200001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001540194200001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001540194200001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001540194200001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,1,10.1111/nph.70431,0028-646X,1469-8137,40739729,,"Zhang, FY; Biederman, JA; Pierce, NA; Guo, JS; Potts, DL; Scott, RL; Fu, YH; Smith, WK"
WOS:001586109200001,Volatile Organic Compound (VOC) Exchange in Tropical Leaf Litter in Response to Wetting: An Automated Scheme to Classify Flux Pulse Dynamics,Article,Article,Journal Of Geophysical Research-Biogeosciences,2025,Oct,130,10,NA,NA,NA,15,e2025JG008774,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001586109200001&DestLinkType=FullRecord&DestApp=WOS_CPL,NA,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001586109200001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001586109200001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,0,10.1029/2025JG008774,2169-8953,2169-8961,NA,,"Crocker, L; Guo, J; U'Ren, JM; Pugliese, G; Ladd, SN; Werner, C; Meredith, LK"
WOS:001603859500001,CAT-GxD: Centralized access to gene expression datasets,Article,Article,Anaerobe,2025,Dec,96,NA,NA,NA,NA,8,103005,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001603859500001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001603859500001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001603859500001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001603859500001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,1,10.1016/j.anaerobe.2025.103005,1075-9964,1095-8274,41092974,,"Roxas, BAP; Roxas, JL; Guo, JS; LeBauer, DS; McCarthy, F; Vedantam, G; Viswanathan, VK"
WOS:001605761400001,High-temperature acclimation of photosystem II in land plants,Review,Review,New Phytologist,2026,Feb,249,3,1108-1123,1108,1123,16,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001605761400001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001605761400001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001605761400001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001605761400001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,10,10.1111/nph.70661,0028-646X,1469-8137,41178112,,"Posch, BC; Amoanimaa-Dede, H; Aparecido, LMT; Atkin, OK; Bison, NN; Blonder, BW; Coast, O; Doughty, CE; Guo, JS; Van Haren, J; Michaletz, ST; Moran, ME; Scafaro, AP; Slot, M; Wiebe, BC; Winter, K; Zhu, LL; Zorger, BB; Hultine, KR"
WOS:001757084300001,Continuous monitoring of plant water potential: sensor-based approaches and best practices,Article,Article,New Phytologist,2026,Jul,251,1,569-588,569,588,20,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001757084300001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001757084300001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001757084300001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001757084300001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,1,10.1111/nph.71194,0028-646X,1469-8137,42087530,,"Restrepo-Acevedo, AM; Guo, J; Novick, K; Humphrey, V; Zweifel, R; Konings, AG; Koch, G; Knowles, J; Anderegg, LDL; Peters, JMR; Paligi, S; Schenk, HJ; Beverly, D; Magh, R; Yao, YT; Hackmann, CA; Bohrer, G; Browne, M; Carminati, A; Kannenberg, SA"
WOS:001791239700001,Winter insect defoliation modifies tree hydraulic responses to environmental stress in Mediterranean forests,Article,Article,Forest Ecology And Management,2026,Oct 15,618,NA,NA,NA,NA,12,123963,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001791239700001&DestLinkType=FullRecord&DestApp=WOS_CPL,NA,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001791239700001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001791239700001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,0,10.1016/j.foreco.2026.123963,0378-1127,1872-7042,NA,,"Houdas, H; Olano, JM; Hultine, KR; Guo, JS; Hernández-Alonso, H; Bush, SE; García-Hidalgo, M; Coca-García, ME; Sangüesa-Barreda, G"
